time,a,e,i,Omega,omega,theta,tp
2023-10-13 17:48:00.000000,6767888.466402069,0.0011312645701040246,0.7251946658001547,2.682135375886997,2.5196731982584364,0.4423861139059424,2023-10-13 17:41:30.720790
2023-10-13 17:51:59.999899,6766547.813995218,0.0007467394740327404,0.7250867462153595,2.6820786742145346,2.5746685786806967,0.11484215820610988,2023-10-13 17:50:18.903454
2023-10-13 17:55:59.999999,6764430.887552867,0.0004516065706431978,0.7249150585878699,2.681902319498576,2.143192776799418,0.2738095804458216,2023-10-13 17:51:58.932188
2023-10-13 18:00:00.000000,6762140.408084562,0.0005723003418745484,0.724728821700865,2.6815717635221628,1.4896361925995183,0.6548542003536506,2023-10-13 17:50:23.844652
2023-10-13 18:04:00.000000,6760346.166310767,0.0008309550832137464,0.7245830032939977,2.6810975534446833,1.4137303174917313,0.45822319873043993,2023-10-13 17:57:17.223009
2023-10-13 18:08:00.000000,6759596.753218334,0.0009475673453793276,0.7245209633206361,2.6805307226990527,1.5281100267107308,0.0712814795910679,2023-10-13 18:06:57.372301
2023-10-13 18:11:59.999999,6760118.49545862,0.0008610604708140158,0.7245624888912894,2.679949300793509,1.6474474426268448,-0.3206284693857071,2023-10-13 18:16:41.792432
2023-10-13 18:15:59.999999,6761739.553579636,0.0006208598284638256,0.7246972537034542,2.6794370412813624,1.608527038890317,-0.5542723239393503,2023-10-13 18:24:07.561925
2023-10-13 18:20:00.000000,6763990.343336869,0.0004660572828720432,0.7248862767975652,2.6790605759688964,1.0458653135351668,-0.2641559895955612,2023-10-13 18:23:52.539039
2023-10-13 18:24:00.000000,6766176.83049256,0.0007187553701578229,0.725075959333135,2.6788414578060435,0.5508778219069937,-0.041708792373995274,2023-10-13 18:24:36.715505
2023-10-13 18:27:59.999999,6767740.8420816,0.001110289354081176,0.7252101580155856,2.6787586483693544,0.5603423541302002,-0.32374308403898155,2023-10-13 18:32:44.871680
2023-10-13 18:31:59.999999,6768208.152487171,0.0014226503818487875,0.7252515534239267,2.6787486808103824,0.7448765388545225,-0.7088220711453393,2023-10-13 18:42:23.510179
2023-10-13 18:36:00.000000,6767386.207494479,0.0015689346917154886,0.7251874635988345,2.678728178485587,0.9880569028886206,-0.6792078738129379,2023-10-13 18:45:57.178578
2023-10-13 18:40:00.000000,6765551.4334889455,0.0015374344478840613,0.7250378597363167,2.678616834630614,1.2414376723611982,-0.659608411876029,2023-10-13 18:49:39.736717
2023-10-13 18:43:59.999999,6763277.467322002,0.0013666835021600428,0.724846112846439,2.678360327246216,1.4686578566805961,-0.613643338738543,2023-10-13 18:52:59.223079
2023-10-13 18:47:59.999999,6761142.041642996,0.0011176698349579905,0.7246689604226155,2.677947993015453,1.6227440188101803,-0.49435702364623313,2023-10-13 18:55:14.380043
2023-10-13 18:52:00.000000,6759792.5471918285,0.0009068775450456818,0.7245578633641606,2.6774133748337765,1.6213713366544877,-0.2194783291746556,2023-10-13 18:55:12.859586
2023-10-13 18:56:00.000000,6759678.698551228,0.0008883687325230949,0.7245454900521948,2.676831128690495,1.487188332919523,0.18826018837545977,2023-10-13 18:53:14.571082
2023-10-13 18:59:59.999999,6760829.234853709,0.0010754703390482227,0.724634329537457,2.676283245775324,1.4608251215391483,0.48813958253828194,2023-10-13 18:52:51.078993
2023-10-13 19:03:59.999999,6762814.862210589,0.0013170218940501415,0.7247985348898341,2.6758418919840463,1.5961260810282367,0.6262331967519879,2023-10-13 18:54:49.715411
2023-10-13 19:08:00.000000,6765121.976127949,0.00150229980958861,0.7249914477721559,2.6755490127023154,1.8195378845405683,0.6760354236642194,2023-10-13 18:58:05.836923
2023-10-13 19:12:00.000000,6767087.183014549,0.001555813646545728,0.7251569395959833,2.675405963245822,2.0744933405088073,0.6940874301713382,2023-10-13 19:01:49.758361
2023-10-13 19:15:59.999899,6768110.717722422,0.001435737951340988,0.7252472466961941,2.6753695044658268,2.3229802573173686,0.7184125257302618,2023-10-13 19:05:28.078469
2023-10-13 19:19:59.999999,6767929.919184078,0.001154407649384824,0.7252355187257689,2.675365269998095,2.5244483579119157,0.444687230777713,2023-10-13 19:13:28.709556
2023-10-13 19:24:00.000000,6766586.962263183,0.0007688486953928488,0.7251278401776873,2.675309937792444,2.5852209633826115,0.11135609928031265,2023-10-13 19:22:21.975856
2023-10-13 19:28:00.000000,6764494.552684462,0.00046362269800470895,0.7249548817472086,2.675134973997321,2.1900564578489266,0.23400378241561404,2023-10-13 19:24:33.980686
